lsoa_code,IMDScore
E01000301,7.059
E01000302,15.595
E01000303,6.805
E01000304,13.531
E01000305,27.857
E01000306,14.045
E01000307,23.325
E01000308,31.832
E01000309,13.899
E01000310,19.223
E01000311,11.072
E01000312,24.927
E01000313,19.932
E01000314,10.677
E01000315,32.727
E01000316,19.874
E01000317,10.85
E01000318,14.711
E01000319,9.915
E01000320,8.719
E01000321,14.405
E01000322,14.866
E01000323,18.834
E01000324,13.755
E01000325,5.875
E01000326,11.973
E01000327,7.68
E01000328,11.404
E01000329,15.875
E01000330,17.867
E01000331,28.281
E01000332,16.091
E01000333,25.871
E01000334,12.987
E01000335,31.73
E01000336,31.362
E01000337,19.57
E01000338,18.89
E01000339,16.3
E01000340,12.831
E01000341,8.884
E01000342,8.918
E01000343,8.347
E01000344,6.105
E01000345,6.252
E01000346,9.662
E01000347,11.175
E01000348,4.979
E01000349,7.459
E01000350,7.89
E01000351,7.587
E01000352,14.763
E01000353,5.202
E01000354,21.316
E01000355,8.189
E01000356,7.94
E01000357,4.079
E01000358,6.15
E01000359,6.167
E01000360,18.65
E01000361,11.27
E01000362,12.63
E01000363,9.306
E01000364,12.692
E01000365,14.39
E01000366,9.865
E01000367,30.905
E01000368,33.932
E01000369,14.638
E01000370,11.364
E01000371,8.174
E01000372,29.915
E01000373,29.344
E01000374,42.38
E01000375,18.295
E01000376,16.232
E01000377,12.286
E01000378,21.241
E01000379,18.601
E01000380,23.317
E01000381,27.812
E01000382,6.444
E01000383,21.082
E01000384,12.076
E01000385,32.32
E01000386,41.618
E01000387,12.348
E01000388,10.762
E01000389,11.233
E01000390,10.167
E01000391,13.901
E01001228,11.398
E01000392,22.909
E01000393,9.166
E01000394,9.317
E01000395,5.03
E01000396,8.072
E01000398,20.001
E01000399,9.101
E01000400,14.705
E01000401,21.111
E01000402,23.537
E01000403,29.529
E01000404,30.082
E01000405,28.889
E01001632,18.55
E01001229,30.226
E01001230,21.257
E01001231,13.847
E01001232,23.753
E01001233,23.841
E01001234,22.923
